Topic,Count,Name,Representation,Representative_Docs
-1,993,-1_tidak_aplikasi_bisa_ini,"['tidak', 'aplikasi', 'bisa', 'ini', 'login', 'data', 'daftar', 'ada', 'tapi', 'pengguna']","['aplikasi apa ini dapat verifikasi lewat email keterangan bisa login ternyata pas login nama pengguna password benar berkali-kali tetap saja gagal', 'tolong data jangan salah gunakan padahal dapat notifikasi email akun berhasil verifikasi tapi pas mau login tidak bisa bagaimana sih ini aplikasi', 'bikin aku baru masukkan data sampai ada tulisan nama pengguna terdaftar silakan login tapi coba login tidak bisa kata belum aktivasi cek email tidak ada email apa apa bagaimana ini data']"
0,502,0_bansos_cek_aplikasi_ini,"['bansos', 'cek', 'aplikasi', 'ini', 'ada', 'dapat', 'tidak', 'bisa', 'bantuan', 'daftar']","['kenapa cek bansos sekarang tidak bisa login', 'tolong perbaiki aplikasi cek bansos', 'kenapa aplikasi cek bansos tidak bisa buka']"
1,225,1_koneksi_jaringan_fi_wi,"['koneksi', 'jaringan', 'fi', 'wi', 'masalah', 'bagus', 'padahal', 'lancar', 'pakai', 'sinyal']","['aplikasi tidak bisa akses setiap login selalu muncul kerja masalah koneksi padahal pakai wi-fi tolong perbaiki aplikasi', 'setiap log in tidak bisa kerja kesalahan koneksi melulu padahal pakai wi-fi pakai data sama saja kerja kesalahan padahal sinyal jaringan stabil buat lain lancar tapi buat buka aplikasi ini kok tidak bisa', 'aplikasi tidak bisa buka lama menunggu tapi selalu muncul masalah koneksi masalah koneksi lagi padahal coba pakai wi-fi data lancar tolong perbaiki admin']"
2,196,2_penduduk_kartu_tanda_foto,"['penduduk', 'kartu', 'tanda', 'foto', 'swafoto', 'sesuai', 'unggah', 'data', 'isi', 'aplikasi']","['aplikasi tidak jelas ini daftar sesuai petunjuk masukkan data sesuai kartu tanda penduduk alamat lengkap dan lain-lain swafoto sama kartu tanda penduduk tapi tetap saja aplikasi tidak bisa buka menyesal takut data kartu tanda penduduk salahgunakan', 'aneh bikin akun foto kartu tanda penduduk swafoto foto tapi tidak bisa login keterangan akun tidak ditemukan padahal dapat email tolong diperbaiki lagi', 'ini bagaimana kok mau daftar akun tidak bisa bisa data diisi semua tinggal swafoto foto kartu tanda penduduk sama foto kartu tanda penduduk saja tidak bisa selalu kembali menu utama bagaimana sih']"
3,171,3_nik_terdaftar_nama_akun,"['nik', 'terdaftar', 'nama', 'akun', 'daftar', 'kata', 'baru', 'nomor', 'belum', 'mau']","['aplikasi tidak guna daftar nik ada keterangan terdaftar pas mau log in bahkan ada keterangan nik belum terdaftar', 'kenapa mau daftar akun bahkan tidak bisa tulisan terdaftar nik terdaftar juga padahal belum pernah daftar sama sekali tolong bantuan', 'aplikasi tidak jelas belum pernah daftar akun pas selesai semua dimasukkan nik nama password foto kartu tanda penduduk kartu tanda penduduk kata nik terdaftar lah kapan saja baru unduh ini aplikasi bagaimana mau masuk aplikasi ini orang baru mau daftar saja tulisan nik terdaftar aneh']"
4,132,4_password_pengguna_nama_login,"['password', 'pengguna', 'nama', 'login', 'ditemukan', 'terdaftar', 'pas', 'belum', 'daftar', 'padahal']","['kenapa setiap mau login tidak bisa selalu muncul tulisan nama pengguna password tidak ditemukan belum dilakukan aktivasi padahal daftar coba daftar ulang tidak bisa nomor nik terdaftar', 'saat daftar sesuai kartu tanda penduduk ada keterangan nama pengguna telah terdaftar silakan login tapi pas login ada keterangan nama pengguna password tidak ditemukan belum dilakukan aktivasi padahal coba beberapa kali tapi hasil masih sama saja', 'kok akun belum verifikasi kenapa ya tolong dong lama daftar tapi pas login selalu ada tulisan pengguna nama password tidak ditemukan belum dilakukan aktivasi ini bagaimana sih']"
5,111,5_buka_dibuka_bisa_kebuka,"['buka', 'dibuka', 'bisa', 'kebuka', 'hitam', 'layar', 'kenapa', 'pasang', 'aplikasi', 'tidak']","['aplikasi tidak bisa buka', 'kenapa aplikasi tidak bisa buka', 'aplikasi kenapa tidak bisa buka']"
6,105,6_provinsi_loading_pilih_error,"['provinsi', 'loading', 'pilih', 'error', 'klik', 'mau', 'bagian', 'pilihan', 'lama', 'saja']","['saja mana sih mau daftar tidak bisa masuk pilihan provinsi tolong dong dibenarkan mau daftar susah banget buka pilihan provinsi muncul tulisan error melulu', 'aplikasi tidak berguna saat mendaftar akun masuk pilih provinsi loading berjam jam bahkan tidak bisa muncul sama sekali provinsi aneh pengembang tolong perbaiki lagi aplikasi biar bermanfaat terakhir copot pemasangan', 'aplikasi tidak bisa gunakan masa pas klik provinsi tidak mau muncul tolong perbaiki']"
7,85,7_pengguna_login_nama_password,"['pengguna', 'login', 'nama', 'password', 'terdaftar', 'kata', 'jelas', 'pas', 'ditemukan', 'aplikasi']","['aplikasi tidak membantu mau login tidak bisa nama pengguna password tidak ditemukan padahal berhasil daftar', 'pas daftar berhasil giliran mau login kata pengguna password belum terdaftar pas daftar ulang kata terdaftar tinggal masuk pakai pengguna eh coba lagi masuk pakai pengguna tetap tidak bisa aneh ini aplikasi', 'aplikasi apa daftar ini itu pas giliran mau login lagi password nama pengguna salah padahal jelas jelas baru daftar aneh']"
8,84,8_verifikasi_email_menunggu_masuk,"['verifikasi', 'email', 'menunggu', 'masuk', 'belum', 'diverifikasi', 'daftar', 'terverifikasi', 'sabar', 'tapi']","['daftar mengisi data sesuai lalu mendapat email pertama isi memberitahukan telah registrasi berikut menunggu email dikirim verifikasi bisa masuk aplikasi selang menit dapat email verifikasi cakap buat baru daftar seperti harus sabar menunggu verifikasi terlebih dahulu melalui email baru bisa masuk aplikasi sering cek email kalau cuma daftar terus selesai lalu login aplikasi tidak bakal bisa masuk sebelum diaktivasi', 'mau login tidak pernah bisa kata belum verifikasi harus menunggu verifikasi email ada tapi suruh menunggu verifikasi padahal email udah ada dalam email kata aplikasis bisa gunakan tapi kok tetap tidak bisa bagaimana ini', 'data bisa masuk terdaftar tapi login menunggu verifikasi terus mau daftar baru data terdaftar login tidak bisa bisa menunggu verifikasi terus']"
9,68,9_bantuan_orang_dapat_penyelenggara,"['bantuan', 'orang', 'dapat', 'penyelenggara', 'penerima', 'jaminan', 'tidak', 'badan', 'sosial', 'cek']","['kenapa ini tidak bisa daftar langsung kasihan berhak dapat bantuan tapi tidak mendapatkan mau daftar mandiri tidak bisa persulit sistem bantuan sekarang bagaimana salah sasaran dapat bantuan juga orang itu saja mau daftar mandiri tidak bisa', 'tahun lebih daftarkan ibu layak dapat bantuan lanjut usia tapi daftar usulan tidak pernah cek aneh buat apa bikin aplikasi kayak begini kalau ujung tidak berguna banyak bantuan tidak tepat sasaran giliran berhak dapat bahkan tidak dapat', 'susah sekali padahal daftar tapi sampai sekarang masih belum verifikasi padahal lama giliran mau buat baru keterangan buat akun tapi masih saja tidak bisa buka bagaimana sih terus harus bertanya siapa giliran orang benar benar susah mau dapat bantuan bahkan persulit tapi orang mampu bahkan dapat bantuan terkadang bingung pemerintah tolong aktivasi akun bisa mendaftarkan menerima bantuan']"
10,64,10_negara_pemerintah_rakyat_aplikasi,"['negara', 'pemerintah', 'rakyat', 'aplikasi', 'bikin', 'uang', 'anggaran', 'masyarakat', 'buatan', 'kalau']","['kalau ada bintang pasti itu pilih tidak berguna sama sekali mau buat akun bahkan error terus berkali-kali kali coba tetap saja masalah jaringan lah error lah apa lah dasar tidak guna lagian kenapa masyarakat harus mengurus data sendiri padahal pegawai negeri sipil gaji melayani data masyarakat kalau ada aplikasi kayak begini lebih baik pegawai negeri sipil pecat saja semua tidak berguna mau makan gaji buta saja bisa', 'sayang sekali aplikasi punya pemerintah memang selalu gagal dibuka juga tidak bisa bikin aplikasi ini pasti ada dana kalian kalian bikin aplikasi macam ini harus malu didanai negara pakai uang rakyat tapi aplikasi sama sekali tidak berfungsi', 'aplikasi buatan pemerintah serasa aplikasi bodong mau buka aplikasi saja susah error lah kendala sinyal lah mau usulkan bantuan pun sinyal kendala lagi berhasil diusulkan ditunggu lama berbulan bulan hampir tahun pun usulan bantuan belum diverifikasi ini niat mau bantu rakyat apa tidak sih jangan cuma buang anggaran negara buat bikin aplikasi tidak jelas begini bilang mau bantu rakyat rakyat meminta bantuan saja dibuat susah dicueki tunda']"
11,64,11_bintang_kasih_kalau_dulu,"['bintang', 'kasih', 'kalau', 'dulu', 'aku', 'akun', 'satu', 'ubah', 'aplikasi', 'saja']","['hampir bulan akun masih belum verifikasi padahal sangat membutuhkan aplikasi ini bantuan pemerintah maaf kasih bintang satu dulu kalau memang bisa pakai aplikasi ini baru tidak kasih bintang', 'kasih bintang dulu aplikasi belum bisa buka', 'tidak bisa buat akun beberapa kali gagal terus gagal terus terima kasih kasih bintang saja nanti kalau tetap tidak bisa akan kasih bintang']"
12,53,12_terima_membantu_kasih_sangat,"['terima', 'membantu', 'kasih', 'sangat', 'bantuan', 'alhamdulillah', 'aplikasi', 'ini', 'bagus', 'semoga']","['aplikasi ini sangat membantu masyarakat tidak sulit lagi mendaftar secara online terima kasih ya aku beri bintang aplikasi sangat membantu memudahkan kita awal sulit sedikit error tapi alhamdulillah berkat aplikasi ini aku bisa daftar online terima kasih banyak aplikasi', 'terima kasih kemensos aplikasi ini sangat membantu cepat', 'aplikasi ini sangat membantu terima kasih membuat aplikasi ini']"
13,50,13_sesi_login_berakhir_terus,"['sesi', 'login', 'berakhir', 'terus', 'masuk', 'mau', 'sana', 'kerja', 'bisa', 'kali']","['aku baru pasang berhasil daftar tapi kok begini terus sih muncul tulisan sesi telah berakhir dicoba berkali-kali tetap sama saja', 'baru masuk tiba tiba ada tulisan sesi berakhir silakan login kembali login seperti begitu lagi sampai berkali-kali kali belum ada detik muncul tulisan seperti begitu setiap login parah ini error', 'tolong dong bagaimana ini login terus kata sesi berakhir terus lupa kata sana mau ganti susah banget juga mau ganti email susah banget selalu gagal terus']"
14,49,14_keluarga_program_harapan_anak,"['keluarga', 'program', 'harapan', 'anak', 'bantuan', 'penerima', 'status', 'bpnt', 'sekolah', 'dapat']","['tolong dong aplikasi segera perbaiki error terus kemarin sangat butuh buat daftar program keluarga harapan buat anak', 'daftar program keluarga harapan lewat aplikasi tapi tidak ada respons', 'data kurang akurat tetangga dapat bantuan program keluarga harapan terima bulan lalu padahal aplikasi status bukan penerima program keluarga harapan data belum terintegrasi']"
15,47,15_pembaruan_data_perbarui_perubahan,"['pembaruan', 'data', 'perbarui', 'perubahan', 'bulan', 'lebih', 'sekali', 'proses', 'tidak', 'benar']","['tahun tidak bisa pembaruan data aplikasi tidak ada guna', 'aplikasi pemerintah memang tidak pernah benar mau pembaruan data saja tidak bisa bisa', 'mau pembaruan data kok susah sekali']"
16,47,16_pemerintah_sekelas_negara_login,"['pemerintah', 'sekelas', 'negara', 'login', 'kementerian', 'aplikasi', 'situs', 'tidak', 'saja', 'pemerintahan']","['ini bagaimana sih kok tidak ada aktivasi email lama banget sekelas aplikasi pemerintah kok begini aplikasi lain itu aktivasi langsung lo sebentar saja sesudah unduh lah ini beberapa hari tidak muncul aktivasi email tolonglah diperbaiki sekelas pemerintahan jangan ecek-ecek pelayanan', 'asli parah ini aplikasi pemerintah banyak bug bagaimana mau mengajukan daftar login saja tidak bisa seperti negara kita tidak ada orang bisa membuat aplikasi indonesia kok begini', 'menunggu email aktivasi lama sekali dapat login saja tidak bisa bisa muncul tulisan koneksi tidak bagus aneh banget kenapa aplikasi sekelas pemerintah begini tolong cepat diperbaiki']"
17,46,17_foto_unggah_selalu_keluar,"['foto', 'unggah', 'selalu', 'keluar', 'awal', 'kali', 'pas', 'kamera', 'akun', 'lagi']","['susah banget daftar selesai foto mau upload foto selalu kembali menu awal coba berkali-kali kali tetap tidak bisa', 'kenapa tiap mau buat akun unggah foto selalu kembali awal begitu terus tolong perbaiki lagi', 'ini bagaimana mau buat akun gagal terus mengisi data pas unggah foto mengulang lagi awal dicoba berkali-kali kali tetap ulang terus tolong diperbaiki']"
18,45,18_login_melulu_error_tolong,"['login', 'melulu', 'error', 'tolong', 'perbaiki', 'mohon', 'situs', 'web', 'diperbaiki', 'lagi']","['error melulu tolong diperbaiki ya', 'mendapat email dua akun telah aktivasi tapi pas mau login tidak bisa masuk kerja masalah koneksi berapa kali coba tetap itu terus masalah padahal koneksi bagus kuota banyak mohon pencerahan bagi bisa login', 'buka error terus tidak bisa login padahal ada data lah tolong perbaiki lagi ya']"
19,39,19_sampah_anggaran_aplikasi_kalian,"['sampah', 'anggaran', 'aplikasi', 'kalian', 'pemerintah', 'kotak', 'saja', 'buang', 'begini', 'tidak']","['aplikasi sampah daftar saja susah banget daftar terus login akun tidak terdaftar anggaran miliaran aplikasi kayak sampah kalau memang rakyat tidak boleh daftar tidak usah bikin bikin aplikasi seperti begini menghabiskan uang rakyat saja', 'aplikasi sampah ketika mendaftar kata tidak bisa daftar lagi error sibuk saat daftar ulang eh dibilang terdaftar mau login bahkan dibilang belum terverifikasi aplikasi ini bagaimana sih padahal punya pemerintah kok bahkan seperti aplikasi palsu semacam sampah begitu apa seperti begini pemerintahan', 'aplikasi sampah lama pembaruan data belum tidak proses']"
20,38,20_rukun_tetangga_warga_kirim,"['rukun', 'tetangga', 'warga', 'kirim', 'diisi', 'pembaruan', 'isi', 'rumah', 'opsional', 'mengisi']","['oke teman semoga bisa sedikit membantu jika saat kirim muncul tulisan silakan mengisi rukun tetangga padahal data kita isi semua tapi masih tetap tidak bisa kirim coba di bagian rukun tetangga rukun warga itu diberi tanda catatan memang kartu tanda penduduk tidak punya rukun tetangga ataupun rukun warga kalau di bagian rukun tetangga ada hanya bagian rukun warga diberi tanda alhamdulillah setelah itu bisa kirim', 'susah memperbaharui data daerah tidak ada rukun tetangga rukun warga padahal aplikasi ada keterangan kosongkan jika tidak ada rukun tetangga rukun warga tapi saat kirim tetap saja masukan rukun tetangga indonesia ini tidak semua daerah punya rukun tetangga rukun warga seharusnya opsional tidak wajib isi', 'mau pembaruan data rukun tetangga rukun tetangga boleh opsional saat kirim bahkan disuruh isi rukun tetangga saat diisi rukun tetangga padahal kartu tanda penduduk tapi bahkan tidak bisa aplikasi apa ini']"
21,34,21_error_aplikasi_terus_sering,"['error', 'aplikasi', 'terus', 'sering', 'mencari', 'indonesia', 'it', 'banyak', 'odong', 'mental']","['sebenarnya bukan aplikasi error tapi mental dasar error siapa itu percuma juga kita bahas beginian warga indonesia bangga punya aplikator bisa buat aplikasi banyak sumber daya manusia berkualitas cerdas tapi hasil karya kamu kamu tidak bisa diakses padahal slogan kita baik kalau bisa dipermudah kenapa harus dipersulit bukan begitu ini kembali masa dulu lagi maka mental dasar mesti diperbaiki', 'aplikasi berat banget menghadapi indonesia saja terasa berat aplikasi sering error tidak bisa sekuat facebook apa masa indonesia tidak kurang orang pintar tapi bikin aplikasi masih suka error tingkatkan lagi biar tidak suka error', 'menggunakan apa sangat kecewa kenapa muncul error java lag pakai bahasa asing pula buka indonesia maju bahasa juga mendunia paling jelek aplikasi ini tidak bisa mendaftar terdaftar orang kecil kesulitan semakin sulit ketika ada harapan putus di tengah jalan bukan kali pertama memang indonesia banyak pintar it apa cuma gunakan mencari isu bohong menutupi kesalahan']"
22,34,22_aktivasi_belum_akun_email,"['aktivasi', 'belum', 'akun', 'email', 'log', 'login', 'notifikasi', 'in', 'informasi', 'nama']","['bulan lebih belum juga dapat balasan aktivasi saat buat akun baru nama pengguna terdaftar tapi tetap tidak bisa login', 'padahal dapat email kemensos akun aktivasi tapi saat log in masih ada notifikasi belum aktivasi terus aneh', 'ini bagaimana aktivasi buat akun isi semua benar terus mau log in susah belum aktivasi kata menunggu email tidak ada aktivasi apa']"
23,33,23_kasih_terima_mohon_tertawa,"['kasih', 'terima', 'mohon', 'tertawa', 'ini', 'login', 'jangan', 'pesan', 'data', 'aplikasi']","['halo bapak ibu terima kasih aplikasi sebenarnya aplikasi sangat membantu hanya saja mungkin bisa diperbaiki kembali mengalami kendala tidak bisa login lupa password isikan nomor telepon juga email lupa sana tapi email konfirmasi masuk sangat lama sehingga link aktivasi selalu kedaluwarsa selalu gagal mohon tolong bantuan ada keperluan mendesak bisa login kembali terima kasih', 'selaku pengguna aplikasi ini meminta hormat kepada admin tolong hapus semua data nama pengguna yakub kita ini orang susah berharap ada rezeki sedikit sedikit menambah kebutuhan sehari hari tapi apa setelah melakukan pengisian data amat sangat benar tapi tidak bisa login sama sekali bingung semakin bingung aplikasi ini sekali lagi meminta hormat sehormat hapus semua data orang mengisi data aplikasi ini tapi tidak bisa login terima kasih', 'data kita serahkan aplikasi ini benar tetapi masih saja banyak mengeluhkan tidak bisa masuk dikarenakan nama salah password padahal kita daftar benar mohon kalau memang tidak bisa memberikan bantuan stidak kasih pemberitahuan lagi kepada kalau akun ambil off sebab akun data berikan kepada aplikasi ini sangat rahasia mohon hormat jangan sampai data jangan salah gunakan bapak ibu terima kasih kasih']"
24,33,24_data_daftar_pendaftaran_bisa,"['data', 'daftar', 'pendaftaran', 'bisa', 'masuk', 'mau', 'tidak', 'salah', 'gunakan', 'mengecek']","['tidak jelas lengkapi pendaftaran terdaftar pas login tidak bisa masuk tolong jangan sampai salah gunakan data terdaftar tapi tidak bisa masuk', 'tidak jelas udah daftar udah terima semua tapi pas masuk lagi mau cek kenapa tidak bisa bahkan semua data udah masuk lagi semoga tidak salah gunakan ya bisa tuntut kalau salah gunakan', 'mengisi semua pendaftaran lengkap tapi kenapa tidak dapat login tertulis data tidak ditemukan belum terdaftar padahal ulang tidak bisa mendaftar mohon penjelasan jangan sampai data salah gunakan kemudian hari']"
25,32,25_bantuan_dapat_susah_orang,"['bantuan', 'dapat', 'susah', 'orang', 'masyarakat', 'lain', 'saja', 'bahkan', 'warga', 'mau']","['aplikasi formalitas negara padahal kalau memang tidak mau membantu masyarakat tidak perlu memberi harapan bantuan giliran mau dipakai aplikasi tidak berguna sama sekali daftar saja susah awal sampai sekarang tidak pernah dapat bantuan padahal masuk kategori tidak mampu', 'parah daftar saja susah sekali bahkan koneksi atur ulang terus waktu coba heran isi dalam kakak saja tinggal orang pekerjaan hanya orang itu pun pekerjaan tidak tetap masih tidak dapat bantuan apa susah harus dibuat robert dulu biar makin susah mendapatkan bantuan negara buat aplikasi saja masih banyak kurang heran bukan main', 'mau ajukan bantuan selama hidup daerah in belum pernah dapat bantuan apapun pemerintah aplikasi buat ini kan mempermudah masyarakat menengah bawah daftar tapi setiap kali daftar ingin mengajukan kak selalu saja ada halangan aplikasi error lah belum terverifikasi lah dan lain-lain pokok harus tingkatkan lagi aplikasi supaya tidak mengecewakan lagi ok']"
26,30,26_error_perbaiki_terus_kerja,"['error', 'perbaiki', 'terus', 'kerja', 'kesalahan', 'tolong', 'dong', 'panjang', 'sering', 'selalu']","['berulang kali mencoba daftar tetap tidak bisa error terus bagaimana kita mau tahu dapat tidak sementara kita daftar saja selalu error daftar ulang kata terdaftar hapus pasang tetap saja sama jika seperti ini jawaban hanya halo bapak ibu maaf atas ketidak nyaman akan terus perbaiki perbaiki apa harus kasih penjelasan dong', 'maaf ini kenapa sih setiap masuk aplikasi kayak error terus tolong dong perbaiki supaya tidak error terus', 'tolong perbaiki lagi aplikasi kenapa error terus sih']"
27,29,27_parse_json_error_muncul,"['parse', 'json', 'error', 'muncul', 'selalu', 'diperbaiki', 'tolong', 'tulisan', 'klik', 'versi']","['tiap kali login selalu saja muncul tulisan error json parse memang siapa sih json parse tolong dong aplikasi dibenahi ditingkatkan lagi masa tiap login selalu error terus', 'dapat email verifikasi lalu login tapi bilang error json parse membuka aplikasi pun seperti itu selalu error json parse bagaimana mau mengecek kalau tidak bisa akses aplikasi tolong jika bisa secepat perbaiki', 'kiraan saja suka error json parse dapat email aktivasi disuruh login eh muncul error json parse sampai kiraan salah password coba atur ulang password juga masih error json parse kecewa sih kalau begini']"
28,28,28_aktivasi_email_belum_akun,"['aktivasi', 'email', 'belum', 'akun', 'daftar', 'menunggu', 'minggu', 'hari', 'harus', 'lama']","['memang aktivasi berapa lama sih kok akun tidak bisa gunakan ya kata harus menunggu aktivasi tapi sampai sekarang belum ada aktivasi rugi dong daftar tapi akun tidak bisa buka', 'daftar akun berhasil dapat email aktivasi tapi kok mau masuk akun tidak bisa alasan belum aktivasi', 'daftar tapi belum aktivasi']"
29,28,29_hp_memori_ulang_meminta,"['hp', 'memori', 'ulang', 'meminta', 'error', 'email', 'nomor', 'pokok', 'log', 'tidak']","['dibuat ngemi mengemis sekali mau mengemis lewat ini aplikasi bahkan error melulu mesti begini mesti begitu harus os seginilah segitulah terbarulah kok repot benar nama orang meminta bantuan kebanyakan juga hp mentok untung masih punya hp lah misal hp terbaru sedang apa meminta bantuan arti mampu dong kalau hp terbaru kalau mampu sedang apa meminta bantuan pikir sampai level sini udah kalau memang benaran kemensos memikirkan sosial masyarakat bawah', 'daftar sukses tapi kok login nama pengguna salah terus tidak bisa masuk meminta masukan nomor hp juga tidak bisa padahal email terdaftar atur ulang password juga tidak bisa', 'tidak bisa login nomor hp email ganti password nama pengguna hp lama hilang lupa daftar lagi tidak dibolehkan atur ulang password juga tidak bisa hp email itu tidak ada lagi sama aplikasi jelek programmer tidak pikir bagaimana cara kalau kasus seperti']"
30,27,30_daftar_semua_eh_email,"['daftar', 'semua', 'eh', 'email', 'tidak', 'sesuai', 'alamat', 'login', 'setelah', 'aplikasi']","['ternyata bukan saja tidak bisa daptar akun gagal terus padahal sesuai data sesuai juga eh tetap saja alamat tidak sesuai padahal data sesuai semua kalau tidak mau pakai jangan buat aplikasi ini lah', 'aplikasi membingungkan daftar tidak bisa masuk alasan ya nama sama paspor tidak terdaftar jelas nma terdaftar setelah dapat email pusdatin setelah masuk lagi paspor nma tidak terdaftar coba atur ulang kata sana sana riset setelah buka email login melalui petunjuk email gaada luarsa padahal baru satu detik menerima kalau kata sih ini mebingungkan kayak tidak niat bikin aplikasi ini', 'sangat jelek aplikasi tidak berguna daftar ada keterangan berhasil daftar suruh silakan login ketika login masukan username password eh tetap tidak bisa keteranga belum terdaftar belum teraktivasi coba bagaimana ini solusi coba berulang ulang mau daftar baru juga tidak bisa email nomor kartu tanda penduduk kakak terdaftar tetap suruh login tapi gagal login terus']"
31,26,31_desa_orang_masyarakat_daftar,"['desa', 'orang', 'masyarakat', 'daftar', 'dapat', 'perangkat', 'dekat', 'langsung', 'aku', 'pemerintah']","['tolong perbaiki lagi aplikasi coba daftar semua data isi lengkap tapi keluar sendiri jika benar aplikasi ini mempermudah masyarakat kenapa bahkan kesan persulit banyak masyarakat berharap bisa daftar desa masing masing tidak daftarkan padahal mungkin lebih hak daripada orang orang daftarkan oleh aparat desa', 'aplikasi percuma tidak bisa daftar juga bisa daftar aplikasi tapi ujung harus lewat desa juga buat konfirmasi layak tidak sedangkan desa dapat keluarga kerabat pejabat desa percuma adakan aplikasi ini tidak ada fungsi cuma berfungsi buat lihat dapat tidak', 'aplikasi kayak tidak guna aplikasi ini ada fitur pengajuan orang membutuhkan tapi tidak didaftar kan oleh pihak desa tapi setelah daftar tahun kemarin tidak ada verifikasi sedangkan orang dekat notaben saudara orang desa dapat bah kan keluarga kakak dapat semua tidak jelas sumpah tidak mengerti lagi memang harus dekat sama orang desa dulu baru bisa terdaftar']"
