Topic,Count,Name,Representation,Representative_Docs
32,26,32_data_bohong_priba_hati,"['data', 'bohong', 'priba', 'hati', 'semua', 'isu', 'ini', 'gunakan', 'penipu', 'penipuan']","['daftar mengisi data diri tapi nama pengguna tidak belum diverifikasi aplikasi ribet padahal buat mengecek saja kok dibuat ribet akhir ku hapus lagi aplikasi padahal mengisi semua data benar semoga data tidak disalah gunakan oleh pihak tertentu mohon diperbaiki lagi aplikasi kasihan pengguna lain ikut tertipu juga semoga tipu bisa sadar kasihan orang kecil niat ingin dapat informasi bahkan dapat kekecewaan', 'bagaimana ini tidak bisa login mana data diri masuk juga mudah mudahan tidak disalah gunakan belum mengunduh harap hati hati menggunakan aplikasi ini takut data priba bahkan disalah gunakan', 'hati hati bila belum unduh aplikasi ini sebaik batalkan saja mengecewakan curiga bawa aplikasi ini berusaha mencuri mengambil data pengisi formulir dasar kenapa pengisi formulir harus mengijinkan aplikasi membuka semua data tersimpan telepon genggam terdaftar inti berhati hatilah penipuan di mana mana']"
33,26,33_nik_bansos_nomor_cek,"['nik', 'bansos', 'nomor', 'cek', 'nama', 'cuma', 'kita', 'terdaftar', 'mohon', 'kakak']","['aplikasi sangat bagus membantu tapi kalau bisa dimasukkan nomor nik soal kalau cuma nama banyak sama ketika kita mau protes atas nama ada bansos tapi kita tidak bisa melihat nomor nik apakah itu benar kita cuma nama sama terima kasih', 'nomor nik nomor kakak tersimpan terdaftar cek bansos pas login selalu password belum temukan belum aktivasi kurang paham kenapa mohon beri penjelasan biar bisa mendaftarkan diri sebagai penerima manfaat bansos', 'kasih dulu soal tidak bisa daftar akun cek bansos keterangan nik nama terdaftar padahal belum pernah daftar sama sekali mau atur ulang password juga tidak bisa keterangan email nomor telepon salah padahal cuma pakai email sama nomor telepon lama']"
34,24,34_pinjaman_online_penduduk_tanda,"['pinjaman', 'online', 'penduduk', 'tanda', 'kartu', 'was', 'foto', 'kalah', 'pakai', 'penipuan']","['ini aplikasi penipuan kali masak daftar pas login tidak bisa kan aneh padahal pengguna nama sama password benar mana daftar pakai kartu tanda penduduk sama foto pakai kartu tanda penduduk lagi jangan mau jadikan berkas pinjaman online lagi', 'habis unduh coba daftar tapi tidak terverifikasi ada malahan telepon sama pinjaman online banyak banget padahal tidak pernah coba daftar pinjaman online aneh banget', 'kasih bintang supaya baca kenapa pekerjaan Cuma dagang orang lain desil Cuma gara-gara kartu tanda penduduk pernah pakai pinjaman online maaf kita pinjaman online juga sebab sangat sangat butuh itulah jalan paling cepat pinjaman online tolonglah punya riwayat pinjaman online juga bisa punya hak juga menurunkan desil']"
35,21,35_data_gunakan_lambat_semula,"['data', 'gunakan', 'lambat', 'semula', 'aplikasi', 'hati', 'menyesal', 'sendiri', 'memperbarui', 'sini']","['ini aplikasi apa tidak bisa gunakan apa Cuma pencurian data data terlanjur masuk tapi tetap tidak bisa gunakan ini aplikasi menyesal banget semoga tidak gunakan hal merugikan kalau sampai gunakan tidak bertanggung jawab ini tangkapan layar bukti kalau data telah masuk aplikasi ini tolong dong usut ini aplikasi', 'aplikasi bagus aneh beli paham kerja ini aplikasi jarang lihat tidak ada oprator kalau kita mengajukan lama periksa terima mengajukan sesuai keadaan susah rakyat sini kan kerja sini pintar tapi kok lambat banget ketika kamu mengajukan proses cepat langsung turun kakak bawah data prubahan cepat ini data nyata sesuai ajukan', 'aplikasi buruk semula data tercantum dalam dtks lalu sedikit berubah jenis kelamin laki perempuan malahan sekarang data hapus dtks setiap buka aplikasi tidak ada data sama sekali sangat kecewa di mana keadilan negeri ini tolong perbaiki lagi sistem kembalikan data semula para petugas mohon data ulang private message tidak sesuai ekspektasi terima kasih']"
36,20,36_perbarui_loading_kadang_bahkan,"['perbarui', 'loading', 'kadang', 'bahkan', 'transparan', 'pendamping', 'setelah', 'bertanya', 'lambat', 'tampilan']","['tampilan baru oke banget lebih perbarui transparan tidak perlu bertanya lagi pendamping tapi percuma juga sih unduh setahun menunggu kks tidak turun sampai detik ini belum dapat juga itu kartu', 'jelek setelah perbarui bahkan tidak bisa masuk sebelum perbarui lancar saja', 'setelah perbarui bukan makin bagus bahkan makin error sebelum perbarui bagus setelah perbarui bahkan tidak bisa masuk coba berkali-kali kali gagal terus sampai install ulang tetap juga gagal masuk']"
37,20,37_rakyat_pemilihan_lelah_registrasi,"['rakyat', 'pemilihan', 'lelah', 'registrasi', 'umum', 'saja', 'daptar', 'hanya', 'tiruan', 'masyarakat']","['seperti aplikasi ini hanya memanipulasi rakyat indonesia mnggu mencoba mendaftar tapi selalu koneksi atur ulang ini bentuk pembohongan publik bahkan amplop diberikan seorang presiden saja kosong apalagi hanya sebuah kata aplikasi mungkin menganggap rakyat orang bodoh tidak perlu ditanggapi', 'berpikir mungkin pengembang aplikasi ini swasta tetapi melihat email admin ternyata kemensos apakah memang buat sulit seperti ini pengajuan online praktik offline tetap jalan sehingga banyak program tidak tepat sasaran pintar atas dorong online tapi jalankan online hasil sulit perlu laporkan pak jokowi dulu kemensos sarang tikus terbesar setelah dewan perwakilan rakyat', 'ini kenapa splikasi error terus januari masih bisa dibuka kenapa bulan ini tidak bisa error terus coba lagi nanti dicoba berulang tetap tidak bisa mengubah profil tidak bisa daftar ulang pun tidak bisa apalagi cek periksa kembali kenapa begini apa lagi sibuk mengurus pemilihan umum kali sampai aplikasi terabaikan']"
38,19,38_aktivasi_login_daftar_belum,"['aktivasi', 'login', 'daftar', 'belum', 'diaktivasi', 'berhasil', 'dua', 'tapi', 'apa', 'bisa']","['daftar berhasil tapi kenapa tidak bisa login padahal berhasil terdaftar pas mau login malah tidak bisa ini kenapa apa jaringan salah aplikasi bermasalah daftar kali tapi pas mau login tidak bisa tolong perbaiki lama unduh aplikasi ini geram semua gede rasa keteledoran ini mohon pertimbangkan terima kasih', 'daftar tapi tidak bisa login kata belum diaktivasi padahal email ada notifikasi masuk kata berhasil diaktivasi tapi tetap saja tidak bisa login dihapus unduh lagi tapi tetap tidak bisa login kata belum diaktivasi sebenarnya ini aplikasi niat bantu tidak sih', 'daftar tapi menunggu aktivasi lama benar coba lah tolong pemerintah kalau buat aplikasi itu aktivasi segera biar juga cepat membuka aplikasi hampir rata rata kalau aplikasi pemerintah aktivasi lama benar apa tidak ada siaga apa sana buat aktivasi ini tolong ini bagaimana sih aplikasi kok buat akun beberapa bulan lalu tapi tidak aktivasi in lambat amat kerja dapat balas suruh langsung email sama saja']"
39,18,39_aktivasi_email_akun_masuk,"['aktivasi', 'email', 'akun', 'masuk', 'gagap', 'gmail', 'jam', 'suruh', 'teknologi', 'login']","['mau masuk aplikasi tapi tidak bisa selalu suruh aktivasi email padahal udah beberapa kali tapi tetap jam tidak bisa masuk', 'kok begini kan suruh buat akun baru nah buat lah akun terus pas buat ada pemberitahuan aktivasi email kok pas login akun belum aktivasi sih mohon bantuan ya siapa tahu saja memang aplikasi ada bermasalah begitu', 'dapat email aktivasi login tapi tetap tidak bisa login email belum aktivasi nama pengguna tidak sah lalu kiriman email masuk aktivasi itu bagaimana proses mau cek lewat web pun error terus padahal benar memasukan kode semoga aplikasi bisa lebih baik lagi']"
40,18,40_pendaftaran_seakan_daftar_mendaftarkan,"['pendaftaran', 'seakan', 'daftar', 'mendaftarkan', 'susah', 'ternyata', 'mau', 'kecil', 'iming', 'ini']","['aplikasi hanya membantu mau cek data buat mau daftar sangat tidak berfungsi kenapa data tidak akan cek diharuskan keluarahan kenapa pendaftaran secara online diarahkan aplikasi ini jika akhir harus tetap kelurahan', 'pengajuan tapi status belum dicek lama daftar pakai aplikasi ini tapi ternyata tidak berfungsi disarankan sama pegawai kelurahan daftar sini saja tapi ternyata bodoh kenapa dapat atas rata rata', 'beri peringkat ini lima supaya respons sama admin kenapa mau daftar saja susah banget padahal banyak pakai aplikasi ini itu ibu ibu bahkan banyak banget lagi persyaratan memang harus susah susah dulu ya apa harus bagaimana mau membantu mau menyusahkan sih']"
41,17,41_error_daftar_terus_admin,"['error', 'daftar', 'terus', 'admin', 'aplikasi', 'masuk', 'sih', 'kadang', 'tolong', 'bisa']","['enggak usah unduh coba daftar tidak bisa bug error besok lagi coba sama saja tidak bisa bug error puluhan kali coba buat daftar di sini tapi nihil tidak ada berhasil aplikasi konyol ini kenapa sih aplikasi kenapa tidak bisa dipakai cuma buat pajangan saja begitu tipu', 'error terus tidak masuk masuk bagaimana sih aplikasi tidak bisa gunakan padahal daftar bahkan tidak masuk masuk error terus perbaiki lagi aplikasi', 'halo admin mau bertanya soal kendala aplikasi saat daftar awal daftar saat klik tombol penyelesaian daftar terus muncul error sistem johnson kalau tidak salah tulisan seperti itu kemudian malam coba lagi bahkan muncul lagi tulisan error aplikasi suruh hubung admin mencari kontak admin aplikasi tidak ada mohon bantuan informasi']"
42,17,42_data_kita_priba_ambil,"['data', 'kita', 'priba', 'ambil', 'login', 'salah', 'menyalahkan', 'gunakan', 'mau', 'kalau']","['tidak guna jangan unduh percuma hanya mengumpulkan data priba kita setelah data lengkap daftar setelah itu tidak bisa login alasan belum terdaftar padahal kita daftar pakai data priba berhasil menyesal unduh kasih data priba', 'apakah ini hanya trik supaya data bisa ambil kenapa kok setelah aplikasi unduh daftarkan data data bahkan saat mau buka kata id belum aktifkan sampai sekarang setiap kalau mau masuk hanya motif seperti itu sama sekali tidak bisa buka aplikasi ini semoga tidak tertipu semoga data data tidak salah gunakan bujur agak menyesal juga unduh daftar data priba ternyata bodoh', 'aplikasi tidak jelas nama pengguna benar password juga benar pas mau login bahkan tidak bisa kata nama pengguna password tidak temukan lah terus data kita isi sesuai kakak apa tidak sih salah gunakan oleh jangan hanya butuh data kita buat kepentingan priba']"
43,17,43_susah_sekali_fix_selalu,"['susah', 'sekali', 'fix', 'selalu', 'sial', 'aplikasi', 'apa', 'masuk', 'gagal', 'buat']","['aplikasi gagal sih ini masa berkali-kali kali unduh setiap buka aplikasi muncul cuma layar hitam aku tunggu selama sejam tidak ada uang berubah muncul apapun mau login susah sekarang bahkan tidak ada uang gambar apa apa', 'kenapa susah sekali mau masuk aplikasi padahal jaringan internet bagus sampai uninstall terus unduh lagi tapi bahkan lebih parah tidak bisa masuk coba di lain hari tapi tetap sama susah sekali mau masuk padahal aplikasi ini sangat membantu masyarakat kalau saja proses cepat mohon ditingkatkan', 'aplikasi terburuk sedunia login tidak bisa alasan koneksi error pas log in tiba tiba log out desil tidak muncul buat apa anggaran buat aplikasi besar tapi aplikasi kayak dibuat orang baru belajar coding teks tanya jawab banyak salah ketik masa sekelas pemerintah tidak mengecek dulu sih masalah utamanya tidak bisa login woi bagaimana ini fix lah bug semingguan tidak bisa login ini kemana anggaran kalian itu cuma menge fix saja masa tidak bisa']"
44,16,44_menyesal_guna_mengulang_jelas,"['menyesal', 'guna', 'mengulang', 'jelas', 'ulasan', 'aplikasi', 'lebih', 'harus', 'berguna', 'digunakan']","['aplikasi benar benar tidak berguna lebih baik hapuskan saja aplikasi kalau tidak ada guna serba tidak bisa selalu salah benar benar jelas tapi keterangan salah terus bagaimana bukan bahkan membantu bahkan sebalik', 'aplikasi tidak guna tidak ada respons cuma buat gaya gayaan az biar kelihatan kerja buat lain jangan download aplikasi ini tidak guna percuma kalau tidak percaya kalian bakal menyesal', 'menyesal banget unduh aplikasi ini gagal terus padahal semua data benar terus saja harus mengulang awal menyesal tidak awal lihat ulasan sedang di jalan hapus lagi saja aplikasi']"
45,15,45_kelurahan_kecamatan_kabupaten_sesuai,"['kelurahan', 'kecamatan', 'kabupaten', 'sesuai', 'kependudukan', 'memilih', 'justru', 'pilihan', 'data', 'maaf']","['baru saja daftar sesuai data tapi masalah kelurahan kecamatan padahal benar sesuai data kependudukan sampai kali ulang masih saja tidak bisa log in awas saja kalau data salahgunakan', 'aplikasi aneh mau perbarui data pilihan provinsi kota kabupaten kecamatan kelurahan tidak bisa dipilih tidak bisa dipencet emosisumpah mencoba hp lain tetap tidak bisa mah masuk susah sana salah saja padahal benar ngaco benerin dong buat apa ada aplikasi tapi tidak berfungsi', 'aplikasi bagus hanya saja saat daftar harus menunggu aktivasi sangat lama saat cek mohon nik kakak perlihatkan banyak nama sama kelurahan mohon cek ulang lapangan banyak berhak justru tidak mendapatkan bantuan contoh daerah kabupaten lampung utara kecamatan kotabumi selatan kelurahan tanjung aman banyak tidak sesuai fakta justru saat pembaruan data orang miskin justru tidak mendapatkan bantuan sama sekali terima kasih']"
46,15,46_playstore_hapus_bikin_hilangkan,"['playstore', 'hapus', 'bikin', 'hilangkan', 'tidak', 'baik', 'saja', 'kalau', 'niat', 'sekira']","['ini niat tidak sih bikin aplikasi kalau tidak niat lebih baik hapus saja playstore tidak perlu ada aplikasi daripada bikin pusing orang lain berhasil daftar tapi pas login bahkan tidak bisa kan konyol', 'aplikasi sangat tidak berguna banget saat buat akun anak login tidak bisa bisa selalu salah terus ada error terus aplikasi tidak berguna tolong perbaiki lagi kalau tidak hapus saja aplikasi playstore', 'aplikasi tidak ada manfaat lebih baik hapus saja playstore mau daftar akun buat masuk aplikasi saja tidak bisa terus apa guna aplikasi tidak bermanfaat kayak begini hapus saja sistem memang sengaja tidak bisa buat daftar payah']"
47,15,47_sesuai_alamat_tanda_penduduk,"['sesuai', 'alamat', 'tanda', 'penduduk', 'kartu', 'pendaftaran', 'registrasi', 'elektonik', 'pakai', 'salah']","['saat daftar diminta masukkan alamat lengkap sesuai kartu tanda penduduk dimasuki alamat sesuai kartu tanda penduduk tetap saja salah udah diubah beberapa kali masih saja salah tidak bisa diulang masih juga salah padahal sesuai alamat kartu tanda penduduk kenapa ada apa', 'di saat pendaftaran borang diisi sesuai kartu tanda penduduk tetapi setelah klik buat akun baru bahkan keluar notifikasi alamat tidak sesuai padahal isi sesuai semua data ada kartu tanda penduduk', 'aneh disuruh isi registrasi sesuai kartu tanda penduduk semua sesuai alamat pun sama sesuai kartu tanda penduduk tapi pas mau daftar eh bahkan gagal registrasi alamat tidak sesuai kan aneh coba pakai suami tetap begitu auto uninstall']"
48,14,48_bug_sekelas_game_banyak,"['bug', 'sekelas', 'game', 'banyak', 'benarkan', 'pemerintah', 'begini', 'negara', 'teri', 'bikin']","['ganti saja nama aplikasi error sekelas aplikasi negara kok kayak begini pengembang sekelas teri diberi kepercayaan buat aplikasi kayak begini buang anggaran negara saja pantas data negara mudah dibobol ternyata pengembang kelas teri semua', 'selalu bikin aplikasi tapi mudah bug pakai perangkat lunak apa sih ini kementerian kalah nomor sama game sama telkomsel dan lain-lain uang banyak bikin aplikasi menge bug melulu', 'aplikasi pemerintah begini amat jelek sistem tidak benarkan melulu masa mau ajukan error melulu kalau buat aplikasi pemerintah bagus sedikit seperti niat bagus aplikasi game udah kalau begini kalau game bug sedikit benarkan minggu juga ini masih berbulan bulan masih saja tidak benarkan aduh']"
49,13,49_atur_ulang_email_password,"['atur', 'ulang', 'email', 'password', 'sana', 'lupa', 'ketika', 'kata', 'sms', 'apa']","['aplikasi tidak beres meminta atur ulang kata sana kata cek email secara berkala namun tidak ada email masuk atur ulang password', 'apa sih aplikasi tidak bisa digunakan mau masuk saja kata sana salah atur ulang masih saja susah lebih baik perbarui lagi lah aplikasi biar masyarakat mudah atur ulang kata sana tapi tidak muncul juga email', 'lama tidak lihat tiba keluar mau masuk atur ulang kata sana selalu belum verifikasi padahal akun ada dapat email atur ulang password juga bagaimana sih ini aplikasi']"
50,13,50_kpm_perbarui_status_tiba,"['kpm', 'perbarui', 'status', 'tiba', 'singkong', 'barat', 'sebagai', 'pos', 'tercantum', 'surat']","['sangat bagus tampilan hanya sayang data actual aplikasi tidak sesuai implementasi lapangan alias kenyataan contoh status bantuan masuk kenyataan saat kpm cek tidak ada masih kosong perlu koordinasi benar antara pemerintah pihak bank ingat kita negara kepulauan kasihan kpm rumah pelosok sampai pegunungan mohon perbaiki lagi', 'tidak ada status tidak termasuk surat perintah membayar surat peringatan 2d dan lain-lain kpm pelukan status perlu tidak terlalu bertanya operator singkong desa pendamping terima kasih sukses selalu ada rezeki semua amin ya rabbal alamin doa terbaik bapak ibu terhormat saldo kpm perkiraan jangan cantumkan aplikasi singkong cukup pemerintah az menghindari kkn undangan pengambilan melalui kantor pos cukup barcode ya petugas pos tahu bpnt april mei juni tahun belum', 'sebelum perbarui tahun aplikasi masih bisa digunakan tapi setelah perbarui sampai sekarang tidak bisa cek kpm wilayah papua tengah mohon saran bagaimana cara cek daftar penerima manfaat kpm setiap kpm terdaftar sebagai penerima bansos data tidak muncul pencarian sedangkan status sebagai penerima manfaat']"
51,12,51_log_manfaat_in_it,"['log', 'manfaat', 'in', 'it', 'tim', 'suami', 'tekan', 'mudah', 'ngliyat', 'pemantauan']","['tolong diperbaiki aplikasi kok mempersulit pertama daftar a bisa login eh giliran dibaca bukan penerima manfaat pindah lah pakai hp suami a suami dapat bantuan eh lama nunggu verifikasi email sampai lupa password giliran diklik lupa password error terus tolong admin jelaskan', 'tolong tim it jangan makan gaji buta masa login saja tidak ada koneksi terus kalau belum siap era digital tidak perlu pakai aplikasi mana peringkat semua aplikasi facebook saja log in ber juta orang tidak ada masalah', 'mau log in cuma memuter terus awal buat sampai sekarang tidak bisa log in cuma memuter saja aplikasi kalau belum bagus tidak perlu langsung dilempar publik benahi dulu apa guna bikin aplikasi kalau tidak ada manfaat buang anggaran']"
52,12,52_admin_menghubungi_usulan_menu,"['admin', 'menghubungi', 'usulan', 'menu', 'hubungi', 'error', 'hubung', 'maintenance', 'bertanya', 'pengajuan']","['tolong admin perbaiki banyak mengeluh mau menu usulan tapi kenapa jaringan error terus ya padahal jaringan tidak masalah tapi pas menu usulan kok tidak bisa ya tolong jelaskan admin kalau memang lagi maintenance tidak apa-apa tapi minimal kasih tahu dulu lah terima kasih', 'setiap mau menambahkan usulan tidak bisa error melulu disuruh menghubungi admin tapi di sana tidak ada menu hubung admin apalah kira tidak bisa maintenance tidak mampu mengurus aplikasi lebih baik tidak uh ada', 'error terus ketika pengajuan usulan sinyal stabil tapi tetap error tidak jelas tolong perbaiki aplikasi ada keterangan error hubungi admin tapi dalam aplikasi tidak ada pengaturan menghubungi admin tolong teliti lagi dalam membuat sebuah aplikasi terima kasih']"
53,11,53_logo_stuck_berhenti_kebuka,"['logo', 'stuck', 'berhenti', 'kebuka', 'kenapa', 'samsung', 'masuk', 'saja', 'mentok', 'bisa']","['kenapa tidak bisa masuk berhenti logo', 'stuck logo tidak bisa masuk aplikasi padahal jaringan bagus pakai wi-fi juga bagus tetap saja stuck logo kacau', 'kenapa tidak bisa masuk stuck logo']"
54,11,54_penduduk_tanda_kartu_foto,"['penduduk', 'tanda', 'kartu', 'foto', 'bisa', 'jika', 'login', 'tetap', 'salah', 'keluar']","['daftar tapi saat login tidak bisa masuk id password foto cek lupa password pun tidak bisa juga bisa saja fungsi daftar ini bisa disalah gunakan pakai nik swap foto foto kartu tanda penduduk', 'bagaimana sih registrasi tapi tidak bisa masukan pengguna kata sana coba berkali-kali sampai menunggu menit tidak bisa tetap tidak bisa login foto sama kartu tanda penduduk foto kartu tanda penduduk alamat lengkap ampun lihat komentar takut buat penipuan', 'coba unduh padahal isi data meminta pakai foto kartu tanda penduduk juga foto swafoto kartu tanda penduduk pula giliran coba login belum aktivasi kiraan bisa langsung login begitu meminta tolong data unggah jaga benar jangan sampai salah gunakan salam']"
55,11,55_korupsi_kebanyakan_dikorupsi_waras,"['korupsi', 'kebanyakan', 'dikorupsi', 'waras', 'pemerintahan', 'bikin', 'iming', 'dana', 'aplikasi', 'mancung']","['aplikasi pemerintahan memang tidak pernah waras padahal dana harus ada buat bikin aplikasi layak kebanyakan korupsi sih aplikasi web pemerintahan tidak pernah waras akses', 'tidak niat bikin aplikasi kalau ada bintang mau kasih bintang susah payah registrasi keterangan terdaftar silakan login pas login malahan keterangan nama pengguna password tidak ditemukan coba cek lupa password hasil sama saja belum terdaftar apa mau pemerintah bikin aplikasi ini giliran korupsi dana paling cepat pas mengurus fasilitas rakyat pasti ada saja masalah rrgh ingat matiiiiii ooooiiiii', 'bikin aplikasi begini kemensos butuh anggaran berapa kalau cuma ribu wajar saja sih aplikasi sering error tapi kalau berjuta juta bahkan bermilyar milyar patut curiga ini komisi pemberantasan korupsi oh masih koalisi bakal aman udah']"
56,11,56_sosial_kementerian_kok_usulan,"['sosial', 'kementerian', 'kok', 'usulan', 'pergi', 'suruh', 'jaminan', 'penyelenggara', 'badan', 'error']","['tolong dong admin error terus kalau mau mengajukan usulan seharusnya kalau aplikasi ini kementerian sosial langsung seharusnya bisa membantu mempermudah masyarakat mengajukan usulan dicoba berulang tetap error padahal sinyal stabil', 'pergi puskesmas suruh aktifkan badan penyelenggara jaminan sosial pergi kantor badan penyelenggara jaminan sosial suruh dinsos sampai dinsos suruh daftar lewat aplikasi ini pas daftar bahkan aplikasi error mau apa sih mempersulit rakyat nama ini', 'sekelas kementerian sosial bikin aplikasi kok begini amat jaringan bagus bilang error rata komentar banyak gagal login padahal dapat email aktivasi bagaimana mau usul sanggah mau login saja tidak bisa']"
57,10,57_jelek_kadaluarsa_sana_ruwet,"['jelek', 'kadaluarsa', 'sana', 'ruwet', 'selalu', 'amat', 'lupa', 'bantulah', 'diakui', 'meye']","['aplikasi bagaimana sih setiap mau login lupa kata sana selalu link kadaluarsa padahal belum lama klik bahkan kadaluarsa bagaimana ini admin bantulah oi berbulan bulan mencoba login lupa kata sana bahkan link kadaluarsa melulu aplikasi jelek', 'aplikasi jelek meye isi data benar selalu ulang terus aplikasi sangat jelek tidak jelas lambat loading terus walau pun data benar tapi tetap saja salah jawaban format selalu salah padahal data sesuai', 'sangat amat jelek sekali buat akun baru tapi tidak bisa masuk baguskan dong percuma perbarui baru hapus saja bagian aktivasi itu mengganggu tolong ya jangan ada mendownload aplikasi ini jelek sangat amat jelek']"
58,10,58_habiskan_keluar_kuota_buang,"['habiskan', 'keluar', 'kuota', 'buang', 'daftar', 'boro', 'hasil', 'lain', 'parce', 'bajak']","['aplikasi apa ini berkali-kali kali daftar tidak bisa kata belum aktivasi bagus hapus saja ini aplikasi tidak guna buat kalian jangan udah unduh habiskan kuota saja', 'habiskan kuota hanya menguntungkan pembuat aplikasi baru daftar akun susah luar biasa gatau lain bisa pengajuan tidak jelas hanya buang waktu tidak bermanfaat', 'aplikasi aneh buang buang waktu saja tidak bisa dibuka loading terus boro boro daftar jangan unduh aplikasi ini cuma habiskan kuota saja']"
59,10,59_toko_main_hapus_afk,"['toko', 'main', 'hapus', 'afk', 'saja', 'baik', 'biar', 'lebih', 'bikin', 'kalau']","['masih banyak kekurangan aplikasi ini bikin ribet cepat bikin emosi coba tingkatkan lagi kalau memang tidak bisa ya sudah hapus saja main toko memang tidak bisa digunakan hapus saja playstore toh tidak bisa digunakan juga apa error apa error error terus lah pokok', 'pendaftaran mudah tapi terlalu lama menunggu verifikasi data sekarang serba online tapi masih saja lama verifikasi data kalau tidak bisa cepat lebih baik hapus saja aplikasi ini main toko', 'aplikasi tidak jelas banget mau daftar saja tidak bisa suruh hubungi admin lebih baik tidak perlu unduh buang kuota saja coba berkali-kali tetap tidak bisa daftar error terus lebih baik hapus saja ini aplikasi main toko']"
60,10,60_bakar_minyak_bahan_tunai,"['bakar', 'minyak', 'bahan', 'tunai', 'bantuan', 'langsung', 'iya', 'bersepeda', 'dapat', 'risma']","['hampir bulan masih juga dalam perbaikan aplikasi ini gimanah mau usulan sangga kalau aplikasi saja sampai sekarang belum bisa gunakan tolong dong percepat perbaikan sistem aplikasi bisa dapat bantuan bahan bakar minyak pemerintah masa dapat kpm lama cuma dapat bantuan pbi tidak dapat bantuan bahan bakar minyak kata setiap bulan selalu update kok tidak sesuai apa janjikan', 'aplikasi apa ini daftar tidak verifikasi sampai lupa akun apa aku gunakan bagaimana sih kemensos ini itu mau daftar bantuan bahan bakar minyak bersepeda tiap hari tiap hari butuh bahan bakar minyak tapi kenapa tidak dapat bantuan bahan bakar minyak sedang tidak bisa bersepeda hanya duduk rumah bahkan dapat bantuan bahan bakar minyak apa ini adilkah ini nama memberi bantuan itu tolong adil', 'selaku pekerja pelaku perjalanan jauh tiap hari cek kemensos tidak dapat bantuan bahan bakar minyak mau daftar pengajuan lewat aplikasi ini loading lama tidak berujung usai terus aku cek nama nama tetangga menerima bantuan langsung tunai bahan bakar minyak orang masih sama penerima bantuan program keluarga harapan diklik terus mau mengajukan kemana lagi kalau aplikasi susah masuk daftar bantuan langsung tunai bahan bakar minyak sedangkan gaji cuma juta per bulan penerima bantuan langsung tunai bahan bakar minyak tidak akurat sama sekali tidak tepat sasaran']"
